common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location,Thermoneutral range,Normal temperature range
Bactarian Camel,Nasta,F,580,37,5,1,Kolmarden,19,580,7.4,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.763,0.869,7.396052751,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Nasta,F,580,37,5,1,Kolmarden,19,580,7.4,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.763,0.869,7.396052751,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Ranja,F,645,67,5,1,Kolmarden,6,645,13.4,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.81,1.127,13.39676687,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Ranja,F,645,71,5,1,Kolmarden,6,645,14.2,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.81,1.152,14.19057522,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Ranja,F,645,63,5,1,Kolmarden,6,645,12.6,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.81,1.1,12.58925412,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Temma,F,647,48,5,1,Kolmarden,22,647,9.6,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.811,0.982,9.594006315,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Temma,F,647,14,2,1,Kolmarden,22,647,7,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.811,0.845,6.99841996,3,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Torkel,M,830,52,5,1,Kolmarden,13,830,10.4,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.919,1.017,10.39920166,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Torkel,M,830,30,3,1,Kolmarden,13,830,10,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.919,1,10,3,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Tulio,F,639,55,5,1,Kolmarden,8,639,11,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.806,1.041,10.99005839,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Victorias,F,645,68,5,1,Kolmarden,19,645,13.6,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.81,1.134,13.61444682,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Bactarian Camel,Victorias,F,645,67,5,1,Kolmarden,19,645,13.4,Artiodactyla,Camelidae,Camelus,bactrianus,Terrestrial,2.81,1.127,13.39676687,1,Air,Broad likely covering normal temperatures,-40 to 40 C
Capybara,Capytan,F,43,155,3.5,1,Kolmarden,1,43,44.3,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Terrestrial,1.633,1.646,44.25883724,15,Air,N/A,20C to 35C
Capybara,Capytan,F,43,118,3,1,Kolmarden,1,43,39.3,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Terrestrial,1.633,1.595,39.35500755,15,Air,N/A,20C to 35C
Capybara,Capytan,F,43,117,3.5,1,Kolmarden,1,43,33.4,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Terrestrial,1.633,1.524,33.419504,14.4,Air,N/A,20C to 35C
Capybara,Kenneth,M,55,114,5,1,Kolmarden,5,55,22.8,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Terrestrial,1.74,1.358,22.80342072,15,Air,N/A,20C to 35C
Capybara,Kenneth,M,55,103,3.5,1,Kolmarden,5,55,29.4,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Terrestrial,1.74,1.469,29.44421634,15,Air,N/A,20C to 35C
Capybara,Kenneth,M,55,165,5,1,Kolmarden,5,55,33,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,Terrestrial,1.74,1.519,33.0369541,14.4,Air,N/A,20C to 35C
South American Tapir,Karl,M,184,81,5,1,Kolmarden,12,184,16.2,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.265,1.21,16.21810097,15,Air,N/A,20C to 35C
South American Tapir,Karl,M,184,84,4,1,Kolmarden,12,184,21,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.265,1.322,20.98939884,15,Air,N/A,20C to 35C
South American Tapir,Karl,M,184,76,5,1,Kolmarden,12,184,15.2,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.265,1.182,15.2054753,14.4,Air,N/A,20C to 35C
South American Tapir,Tris,F,232.6,68,4,1,Kolmarden,15,232.6,17,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.367,1.23,16.98243652,15,Air,N/A,20C to 35C
South American Tapir,Tris,F,232.6,53,3,1,Kolmarden,15,232.6,17.7,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.367,1.247,17.66037821,15,Air,N/A,20C to 35C
South American Tapir,Tris,F,232.6,45,2,1,Kolmarden,15,232.6,22.5,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.367,1.352,22.49054606,15,Air,N/A,20C to 35C
South American Tapir,Tris,F,232.6,50,4,1,Kolmarden,15,232.6,12.5,Perissodactyla,Tapiridae,Tapirus,terrestris,Terrestrial,2.367,1.097,12.5025903,14.4,Air,N/A,20C to 35C
Addax Antelope,Dune,F,100,48,5,1,Kolmarden,5,100,9.6,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2,0.982,9.594006315,14.4,Air,N/A,-4C to 45 C
Addax Antelope,Dune,F,100,60,5,1,Kolmarden,5,100,12,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2,1.079,11.99499303,14.4,Air,N/A,-4C to 45 C
Addax Antelope,Dune,F,100,57,5,1,Kolmarden,5,100,11.4,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2,1.057,11.40249788,14.4,Air,N/A,-4C to 45 C
Addax Antelope,Dune,F,100,47,4,1,Kolmarden,5,100,11.8,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2,1.07,11.74897555,14.8,Air,N/A,-4C to 45 C
Addax Antelope,Leon,M,110,26,3.5,1,Kolmarden,7,110,7.4,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2.041,0.871,7.430191379,14.4,Air,N/A,-4C to 45 C
Addax Antelope,Leon,M,110,59,5,2,Kolmarden,7,110,11.8,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2.041,1.072,11.80320636,14.4,Air,N/A,-4C to 45 C
Addax Antelope,Leon,M,110,51,5,2,Kolmarden,7,110,10.2,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2.041,1.009,10.20939484,14.4,Air,N/A,-4C to 45 C
Addax Antelope,Leon,M,110,34,3,2,Kolmarden,7,110,11.3,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,2.041,1.054,11.32400363,14.8,Air,N/A,-4C to 45 C
Addax Antelope,Tärna,F,97,30,2,1,Kolmarden,6,97,15,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,1.987,1.176,14.99684836,12,Air,N/A,-4C to 45 C
Addax Antelope,Tärna,F,97,32,2,1,Kolmarden,6,97,16,Artiodactyla,Bovidae,Addax,nasomaculatus,Terrestrial,1.987,1.204,15.99558029,12,Air,N/A,-4C to 45 C
